2023-05-16 22:05:108 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (5213d76861523200611a67cdb4772e1e)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:87 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:160 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (9392f524bd7ddb991000b804be18d822)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:470 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (9392f524bd7ddb991000b804be18d822)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:02 INFO  DesktopPage :77 - Select Name : A to Z from sort by Position[[ChromeDriver: chrome on WINDOWS (9392f524bd7ddb991000b804be18d822)] -> xpath: //select[@name='products-orderby']]
2023-05-16 22:05:984 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (ee7829fc64f4b783ed00e42d777b66c0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:986 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (ee7829fc64f4b783ed00e42d777b66c0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:332 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (d160327d3e6e30413cbca404a2e3675b)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:333 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (d160327d3e6e30413cbca404a2e3675b)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:475 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (d160327d3e6e30413cbca404a2e3675b)] -> xpath: //a[normalize-space()='List']]
2023-05-16 23:05:275 INFO  HomePage :44 - Select menu option Computers
